000000	000351	负责
000001	000326	拜访
000002	000157	皱
000003	000120	窄（狭）
000004	000276	国民
000005	000169	松
000006	000198	黑
000007	000268	口
000008	000019	结果
000009	000075	寂静
000010	000458	汤
000011	000329	会见（接见）
000012	000342	美容
000013	000000	情况
000014	000347	岗位
000015	000092	详细
000016	000332	庆祝
000017	000065	庄严
000018	000394	肥皂
000019	000035	普及
000020	000119	宽（宽广）
000021	000069	丰富
000022	000238	婆婆
000023	000331	祝愿
000024	000127	沉重
000025	000004	动态
000026	000213	妻子
000027	000379	恋爱
000028	000057	解散
000029	000352	任务
000030	000420	油
000031	000219	牧民
000032	000211	表哥
000033	000146	差（劣）
000034	000132	快
000035	000489	桌子
000036	000339	事例
000037	000380	枕头
000038	000235	岳父
000039	000170	胀
000040	000105	有
000041	000376	欢聚
000042	000345	经验
000043	000095	危害
000044	000417	手电筒
000045	000447	包子
000046	000154	直
000047	000266	耳
000048	000175	淡
000049	000320	交流
000050	000418	电池
000051	000476	冰淇淋
000052	000189	黄
000053	000160	温
000054	000168	紧
000055	000295	保卫
000056	000036	提高
000057	000385	帘子
000058	000311	演员
000059	000128	硬
000060	000002	形势
000061	000226	盲人
000062	000384	坐垫
000063	000228	弱智人
000064	000322	礼貌
000065	000388	项链
000066	000382	毛毯
000067	000007	优势
000068	000005	形态
000069	000220	小孩儿（儿童、少年）
000070	000303	教师
000071	000123	厚
000072	000483	晴
000073	000246	你们
000074	000177	嫩
000075	000426	香烟
000076	000344	地位
000077	000180	钝（秃）
000078	000453	窝头
000079	000163	疏
000080	000172	强
000081	000014	过渡
000082	000315	律师
000083	000001	前途
000084	000037	利用
000085	000406	尺子
000086	000485	云
000087	000020	作用
000088	000100	来
000089	000346	就业
000090	000374	名义
000091	000391	口红
000092	000459	快餐
000093	000188	橙色
000094	000017	目的
000095	000196	灰
000096	000013	部分
000097	000484	阴
000098	000272	心
000099	000072	幸福
000100	000413	锁
000101	000251	同志
000102	000396	牙膏
000103	000034	体现
000104	000407	剪刀
000105	000467	肉
000106	000472	豆浆
000107	000404	茶壶
000108	000176	清淡
000109	000422	酱
000110	000486	雨
000111	000033	根源
000112	000479	开水
000113	000012	局部
000114	000366	打火机
000115	000076	孤立
000116	000152	正
000117	000207	女儿（女孩）
000118	000209	孙女
000119	000217	矿工
000120	000070	小康
000121	000116	矮（低）
000122	000187	红
000123	000299	米饭（粮食）
000124	000051	好转
000125	000359	气氛
000126	000402	盆
000127	000173	弱
000128	000291	警察
000129	000112	少
000130	000195	褐色
000131	000470	牛奶
000132	000354	推荐
000133	000205	宝贝
000134	000063	安定
000135	000270	牙齿
000136	000218	农民
000137	000158	褶子
000138	000275	人民
000139	000216	工人
000140	000028	效益
000141	000312	医生（大夫）
000142	000398	手帕
000143	000133	慢
000144	000309	画家
000145	000408	针
000146	000383	地毯
000147	000282	商人
000148	000474	啤酒
000149	000397	毛巾
000150	000099	落
000151	000269	舌
000152	000494	衣箱
000153	000369	电风扇
000154	000101	去（出）
000155	000317	邮递员
000156	000498	被子
000157	000052	改善（改良）
000158	000306	记者
000159	000098	涨
000160	000451	烙饼
000161	000296	门卫
000162	000027	成效（成功）
000163	000191	碧绿
000164	000471	咖啡
000165	000360	拖把（墩布）
000166	000412	盒子
000167	000130	深
000168	000091	加强
000169	000010	定局
000170	000277	公民
000171	000250	群众
000172	000050	扭转
000173	000204	妹妹
000174	000214	夫人
000175	000449	馄饨
000176	000164	密
000177	000341	亲切
000178	000015	标志
000179	000208	孙子
000180	000267	鼻
000181	000499	被套
000182	000423	酱油
000183	000224	残疾人
000184	000259	女士
000185	000124	薄
000186	000088	稳定
000187	000335	捐献
000188	000495	衣橱
000189	000487	家具
000190	000424	粉丝
000191	000097	降
000192	000085	困难
000193	000373	名片
000194	000274	人类
000195	000461	蛋糕
000196	000094	安全
000197	000433	卫星
000198	000400	眼镜
000199	000185	韧
000200	000149	假
000201	000141	满
000202	000455	粽子
000203	000463	饼干
000204	000445	馒头
000205	000212	丈夫
000206	000469	饮料
000207	000081	耽误
000208	000283	经纪人
000209	000073	吉祥
000210	000464	汉堡包
000211	000371	洗衣机
000212	000357	环境
000213	000042	发动
000214	000355	招聘
000215	000242	我
000216	000058	放弃（放）
000217	000298	食物
000218	000294	保安
000219	000466	果脯
000220	000114	短
000221	000399	手表
000222	000265	眼
000223	000343	工作
000224	000456	元宵（汤圆）
000225	000117	远
000226	000240	邻居
000227	000136	暖（温暖、暖和）
000228	000414	钥匙
000229	000448	饺子
000230	000255	朋友
000231	000066	热闹
000232	000475	汽水
000233	000262	头发
000234	000121	粗
000235	000078	禁止
000236	000292	武警
000237	000139	饱
000238	000236	岳母
000239	000497	床罩（床单）
000240	000434	彗星
000241	000493	茶几
000242	000049	转折（拐弯）
000243	000137	胖（肥）
000244	000241	自己
000245	000006	声势
000246	000243	你
000247	000431	恒星
000248	000340	婚姻
000249	000233	爸爸
000250	000338	事件
000251	000178	老
000252	000349	名声
000253	000316	驾驶员
000254	000304	教练
000255	000230	祖母（奶奶）
000256	000348	服务
000257	000200	嫂嫂
000258	000045	成立（建立）
000259	000287	保姆
000260	000110	小
000261	000203	弟弟
000262	000482	摄氏度
000263	000432	行星
000264	000206	儿子（男孩）
000265	000106	没有（无）
000266	000166	空
000267	000074	安静
000268	000386	首饰
000269	000086	容易
000270	000047	构成
000271	000009	实际
000272	000108	不是
000273	000263	辫子
000274	000364	扇子
000275	000289	猎手
000276	000107	是
000277	000477	冰棍儿（雪糕）
000278	000439	气象
000279	000288	向导
000280	000257	女（姑娘）
000281	000061	自由
000282	000310	导演
000283	000038	引导
000284	000365	刀
000285	000148	真
000286	000367	电视机
000287	000022	功能
000288	000080	延长
000289	000393	护肤霜
000290	000437	月亮
000291	000247	他们
000292	000129	软
000293	000460	西餐
000294	000102	到
000295	000478	茶
000296	000363	烟灰缸
000297	000261	头（脑）
000298	000446	花卷
000299	000044	出现
000300	000327	友谊
000301	000480	天气（气候）
000302	000194	紫
000303	000131	浅
000304	000138	瘦
000305	000167	实
000306	000416	温度计（寒暑表）
000307	000389	手镯
000308	000071	和睦
000309	000285	会计
000310	000144	好
000311	000201	姐姐
000312	000457	油条
000313	000297	食品
000314	000011	局面
000315	000043	发生
000316	000031	进度
000317	000395	牙刷（刷牙）
000318	000153	歪（倾向）
000319	000221	青年
000320	000021	用途
000321	000244	他（她、它）
000322	000023	环节
000323	000179	尖（锋利、尖锐）
000324	000496	抽屉
000325	000438	太阳
000326	000321	沟通
000327	000089	基础（根据）
000328	000192	青
000329	000150	美
000330	000222	成年人（大人）
000331	000202	姐夫
000332	000358	传统
000333	000280	裁缝
000334	000401	镜子
000335	000492	沙发
000336	000330	会客
000337	000370	空调
000338	000411	纽扣
000339	000273	人
000340	000142	新
000341	000301	职员
000342	000039	开展
000343	000253	同学
000344	000421	盐
000345	000356	社会
000346	000392	香水
000347	000093	保留
000348	000183	偏
000349	000440	粥
000350	000239	哥哥
000351	000134	冷
000352	000403	洗脸盆
000353	000145	坏
000354	000334	福利
000355	000336	事业
000356	000481	天气预报
000357	000062	集中
000358	000444	挂面
000359	000254	同胞
000360	000245	我们
000361	000490	椅子
000362	000067	富裕
000363	000147	漏（滴）
000364	000491	凳子
000365	000143	旧
000366	000337	事情
