foldername,label
police1_signer1_rep1_glosses/glosses0022/keypoints.npy,0
police1_signer1_rep1_glosses/glosses0030/keypoints.npy,0
police1_signer1_rep1_glosses/glosses0035/keypoints.npy,0
police1_signer1_rep2_glosses/glosses0022/keypoints.npy,0
police1_signer1_rep2_glosses/glosses0030/keypoints.npy,0
police1_signer1_rep2_glosses/glosses0035/keypoints.npy,0
police1_signer1_rep3_glosses/glosses0022/keypoints.npy,0
police1_signer1_rep3_glosses/glosses0030/keypoints.npy,0
police1_signer1_rep3_glosses/glosses0035/keypoints.npy,0
police1_signer1_rep4_glosses/glosses0022/keypoints.npy,0
police1_signer1_rep4_glosses/glosses0030/keypoints.npy,0
police1_signer1_rep4_glosses/glosses0035/keypoints.npy,0
police1_signer1_rep5_glosses/glosses0022/keypoints.npy,0
police1_signer1_rep5_glosses/glosses0030/keypoints.npy,0
police1_signer1_rep5_glosses/glosses0035/keypoints.npy,0
police1_signer2_rep1_glosses/glosses0022/keypoints.npy,0
police1_signer2_rep1_glosses/glosses0030/keypoints.npy,0
police1_signer2_rep1_glosses/glosses0035/keypoints.npy,0
police1_signer2_rep2_glosses/glosses0022/keypoints.npy,0
police1_signer2_rep2_glosses/glosses0030/keypoints.npy,0
police1_signer2_rep2_glosses/glosses0035/keypoints.npy,0
police1_signer2_rep3_glosses/glosses0022/keypoints.npy,0
police1_signer2_rep3_glosses/glosses0030/keypoints.npy,0
police1_signer2_rep3_glosses/glosses0035/keypoints.npy,0
police1_signer2_rep4_glosses/glosses0022/keypoints.npy,0
police1_signer2_rep4_glosses/glosses0030/keypoints.npy,0
police1_signer2_rep4_glosses/glosses0035/keypoints.npy,0
police1_signer2_rep5_glosses/glosses0022/keypoints.npy,0
police1_signer2_rep5_glosses/glosses0030/keypoints.npy,0
police1_signer2_rep5_glosses/glosses0035/keypoints.npy,0
police1_signer3_rep1_glosses/glosses0022/keypoints.npy,0
police1_signer3_rep1_glosses/glosses0030/keypoints.npy,0
police1_signer3_rep1_glosses/glosses0035/keypoints.npy,0
police1_signer3_rep2_glosses/glosses0022/keypoints.npy,0
police1_signer3_rep2_glosses/glosses0030/keypoints.npy,0
police1_signer3_rep2_glosses/glosses0035/keypoints.npy,0
police1_signer3_rep3_glosses/glosses0022/keypoints.npy,0
police1_signer3_rep3_glosses/glosses0030/keypoints.npy,0
police1_signer3_rep3_glosses/glosses0035/keypoints.npy,0
police1_signer3_rep4_glosses/glosses0022/keypoints.npy,0
police1_signer3_rep4_glosses/glosses0030/keypoints.npy,0
police1_signer3_rep4_glosses/glosses0035/keypoints.npy,0
police1_signer3_rep5_glosses/glosses0022/keypoints.npy,0
police1_signer3_rep5_glosses/glosses0030/keypoints.npy,0
police1_signer3_rep5_glosses/glosses0035/keypoints.npy,0
police1_signer4_rep1_glosses/glosses0022/keypoints.npy,0
police1_signer4_rep1_glosses/glosses0030/keypoints.npy,0
police1_signer4_rep1_glosses/glosses0035/keypoints.npy,0
police1_signer4_rep2_glosses/glosses0022/keypoints.npy,0
police1_signer4_rep2_glosses/glosses0030/keypoints.npy,0
police1_signer4_rep2_glosses/glosses0035/keypoints.npy,0
police1_signer4_rep3_glosses/glosses0022/keypoints.npy,0
police1_signer4_rep3_glosses/glosses0030/keypoints.npy,0
police1_signer4_rep3_glosses/glosses0035/keypoints.npy,0
police1_signer4_rep4_glosses/glosses0022/keypoints.npy,0
police1_signer4_rep4_glosses/glosses0030/keypoints.npy,0
police1_signer4_rep4_glosses/glosses0035/keypoints.npy,0
police1_signer4_rep5_glosses/glosses0022/keypoints.npy,0
police1_signer4_rep5_glosses/glosses0030/keypoints.npy,0
police1_signer4_rep5_glosses/glosses0035/keypoints.npy,0
police1_signer5_rep1_glosses/glosses0022/keypoints.npy,0
police1_signer5_rep1_glosses/glosses0030/keypoints.npy,0
police1_signer5_rep1_glosses/glosses0035/keypoints.npy,0
police1_signer5_rep2_glosses/glosses0022/keypoints.npy,0
police1_signer5_rep2_glosses/glosses0030/keypoints.npy,0
police1_signer5_rep2_glosses/glosses0035/keypoints.npy,0
police1_signer5_rep3_glosses/glosses0022/keypoints.npy,0
